,ID,Jersey_Number,Player_Name,First_Name,Last_Name,Position,Active_Status,Total_Games_Played,Total_Games_Started,Average_Minutes_Played,Average_Field_Goals_Made,Average_Field_Goals_Attempted,Average_Field_Goal_Percentage,Average_Three_Pointers_Made,Average_Three_Pointers_Attempted,Average_Three_Point_Percentage,Average_Three_Percentage,Average_Two_Pointers_Made,Average_Two_Pointers_Attempted,Average_Two_Point_Percentage,Average_Free_Throws_Made,Average_Free_Throws_Attempted,Average_Free_Throw_Percentage,Average_Points,Average_Offensive_Rebounds,Average_Defensive_Rebounds,Average_Total_Rebounds,Average_Assists,Average_Turnovers,Average_Steals,Average_Blocks,Average_Personal_Fouls,Total_Minutes_Played,Total_Field_Goals_Made,Total_Field_Goals_Attempted,Total_Field_Goal_Percentage,Total_Three_Pointers_Made,Total_Three_Pointers_Attempted,Total_Three_Point_Percentage,Total_Three_Percentage,Total_Two_Pointers_Made,Total_Two_Pointers_Attempted,Total_Two_Point_Percentage,Total_Free_Throws_Made,Total_Free_Throws_Attempted,Total_Free_Throw_Percentage,Total_Points,Total_Offensive_Rebounds,Total_Defensive_Rebounds,Total_Total_Rebounds,Total_Assists,Total_Turnovers,Total_Steals,Total_Blocks,Total_Personal_Fouls
23,3591e430-8065-4eb1-aa8c-62096c3851e5,40,Harrison Barnes,Harrison,Barnes,F,1,11,11,28.613636363636363,3.5454545454545454,7.0,0.5064935064935064,1.0909090909090908,3.1818181818181817,0.3428571428571428,0.4545454545454545,2.4545454545454546,3.8181818181818183,0.6428571428571429,1.5454545454545454,1.818181818181818,0.85,9.727272727272728,1.5454545454545454,2.090909090909091,3.636363636363636,1.5454545454545454,1.0,0.2727272727272727,0.1818181818181818,0.6363636363636364,314.75,39,77,0.5064935064935064,12,35,0.3428571428571428,0.4545454545454545,27,42,0.6428571428571429,17,20,0.85,107,17,23,40,17,11,3,2,7
24,921be2d1-9da8-4ca7-b430-9adef35a1f88,4,Scottie Barnes,Scottie,Barnes,F-G,1,4,4,33.57083333333333,7.25,15.75,0.4603174603174603,0.5,2.75,0.1818181818181818,0.1746031746031746,6.75,13.0,0.5192307692307693,4.25,5.75,0.7391304347826086,19.25,2.5,5.25,7.75,6.0,4.0,2.0,0.5,3.0,134.28333333333333,29,63,0.4603174603174603,2,11,0.1818181818181818,0.1746031746031746,27,52,0.5192307692307693,17,23,0.7391304347826086,77,10,21,31,24,16,8,2,12
25,5f964bde-bed6-464f-91f9-da7a7ef0fc15,9,RJ Barrett,RJ,Barrett,F-G,1,9,9,32.96666666666667,7.888888888888889,19.0,0.4152046783625731,2.0,6.333333333333333,0.3157894736842105,0.3333333333333333,5.888888888888889,12.666666666666666,0.4649122807017544,3.5555555555555554,5.111111111111111,0.6956521739130435,21.333333333333332,0.7777777777777778,5.0,5.777777777777778,5.666666666666667,3.5555555555555554,1.1111111111111112,0.1111111111111111,2.6666666666666665,296.7,71,171,0.4152046783625731,18,57,0.3157894736842105,0.3333333333333333,53,114,0.4649122807017544,32,46,0.6956521739130435,192,7,45,52,51,32,10,1,24
26,129ca26c-71b4-44e0-8a09-26d0712eb8c2,28,Charles Bassey,Charles,Bassey,C-F,1,6,0,2.8777777777777778,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.0,1.1666666666666667,1.1666666666666667,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.0,17.266666666666666,3,3,1.0,0,0,0.0,0.0,3,3,1.0,2,2,1.0,8,0,7,7,1,2,2,1,0
27,9b5c63fa-f555-474c-96e1-ea514212e422,77,Jamison Battle,Jamison,Battle,F,1,11,0,14.392424242424244,1.818181818181818,4.636363636363637,0.392156862745098,1.0909090909090908,3.272727272727273,0.3333333333333333,0.7058823529411765,0.7272727272727273,1.3636363636363635,0.5333333333333333,0.5454545454545454,0.7272727272727273,0.75,5.2727272727272725,0.9090909090909092,1.7272727272727273,2.636363636363636,0.9090909090909092,0.3636363636363636,0.0,0.1818181818181818,1.7272727272727273,158.31666666666666,20,51,0.392156862745098,12,36,0.3333333333333333,0.7058823529411765,8,15,0.5333333333333333,6,8,0.75,58,10,19,29,10,4,0,2,19
28,4e64a79a-cf01-43b1-b4c5-03b3a6f4889f,33,Nicolas Batum,Nicolas,Batum,G-F,1,11,0,17.745454545454546,1.2727272727272727,3.363636363636364,0.3783783783783784,0.7272727272727273,2.363636363636364,0.3076923076923077,0.7027027027027027,0.5454545454545454,1.0,0.5454545454545454,0.3636363636363636,0.5454545454545454,0.6666666666666666,3.636363636363636,0.7272727272727273,2.1818181818181817,2.909090909090909,1.9090909090909092,0.5454545454545454,0.5454545454545454,0.8181818181818182,1.7272727272727273,195.2,14,37,0.3783783783783784,8,26,0.3076923076923077,0.7027027027027027,6,11,0.5454545454545454,4,6,0.6666666666666666,40,8,24,32,21,6,6,9,19
29,8c150977-9af9-4603-92ff-b878fd7005fc,3,Bradley Beal,Bradley,Beal,G,1,9,9,34.762962962962966,6.444444444444445,13.555555555555555,0.4754098360655737,2.5555555555555554,6.666666666666667,0.3833333333333333,0.4918032786885246,3.888888888888889,6.888888888888889,0.5645161290322581,2.3333333333333335,2.888888888888889,0.8076923076923077,17.77777777777778,0.6666666666666666,3.3333333333333335,4.0,3.6666666666666665,1.3333333333333333,1.4444444444444444,0.8888888888888888,2.6666666666666665,312.8666666666667,58,122,0.4754098360655737,23,60,0.3833333333333333,0.4918032786885246,35,62,0.5645161290322581,21,26,0.8076923076923077,160,6,30,36,33,12,13,8,24
30,18897017-c169-4431-953b-f8dc1fccd69c,5,Malik Beasley,Malik,Beasley,G,1,12,0,27.11527777777778,4.416666666666667,12.083333333333334,0.3655172413793103,2.8333333333333335,7.916666666666667,0.3578947368421052,0.6551724137931034,1.5833333333333333,4.166666666666667,0.38,1.1666666666666667,1.75,0.6666666666666666,12.833333333333334,0.5833333333333334,1.75,2.3333333333333335,1.5833333333333333,1.5,0.6666666666666666,0.0833333333333333,1.5,325.3833333333333,53,145,0.3655172413793103,34,95,0.3578947368421052,0.6551724137931034,19,50,0.38,14,21,0.6666666666666666,154,7,21,28,19,18,8,1,18
31,4377977b-1740-441b-bf0f-54cc197cd21b,3,MarJon Beauchamp,MarJon,Beauchamp,F,1,8,0,3.3583333333333334,0.625,1.75,0.3571428571428571,0.125,0.75,0.1666666666666666,0.4285714285714285,0.5,1.0,0.5,0.5,0.5,1.0,1.875,0.25,0.5,0.75,0.125,0.875,0.125,0.0,0.375,26.866666666666667,5,14,0.3571428571428571,1,6,0.1666666666666666,0.4285714285714285,4,8,0.5,4,4,1.0,15,2,4,6,1,7,1,0,3
32,dd1ece6b-3294-44ed-bc23-19f68259275b,3,Reece Beekman,Reece,Beekman,G,1,2,0,2.0416666666666665,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,4.083333333333333,1,1,1.0,0,0,0.0,0.0,1,1,1.0,0,0,0.0,2,1,0,1,1,0,1,0,1
